,1772067_089_A09,1772067_089_A11,1772067_089_C02,1772067_089_C12,1772067_089_D06,1772067_089_D07,1772067_089_D10,1772067_089_E01,1772067_089_E06,1772067_089_G07,1772067_089_G08,1772067_089_H07,1772071_027_A11,1772071_027_B04,1772071_027_C05,1772071_027_C09,1772071_027_C11,1772071_027_D02,1772071_027_D06,1772071_027_D09,1772071_027_D10,1772071_027_F01,1772071_027_F09,1772071_027_F12,1772071_027_G06,1772071_027_H02,1772071_027_H03,1772071_027_H07,1772071_029_A02,1772071_029_A12,1772071_029_C07,1772071_029_C08,1772071_029_C12,1772071_029_D03,1772071_029_E06,1772071_029_E10,1772071_029_F03,1772071_029_F06,1772071_029_G04,1772071_029_G07,1772071_029_G11,1772078_078_A10,1772078_078_A11,1772078_078_B01,1772078_078_C01,1772078_078_C11,1772078_078_C12,1772078_078_F01,1772078_078_F02,1772078_078_F07,1772078_078_G02,1772078_078_G03,1772078_078_G04,1772078_078_G06,1772078_079_A03,1772078_079_F03,1772078_079_F07,1772078_109_A12,1772078_109_B07,1772078_109_C09,1772078_109_C10,1772078_109_C11,1772078_109_D01,1772078_109_D08,1772078_109_D09,1772078_109_E03,1772078_109_E04,1772078_109_F03,1772078_109_H02,1772075_299_A03,1772075_299_A04,1772075_299_A05,1772075_299_A07,1772075_299_A09,1772075_299_B04,1772075_299_B09,1772075_299_C01,1772075_299_C03,1772075_299_C10,1772075_299_D01,1772075_299_D04,1772075_299_E06,1772075_299_F06,1772075_299_F11,1772075_299_G05,1772075_299_G06,1772075_299_G11,1772075_298_E03,1772075_298_E04,1772075_298_F04,1772078_001_A04,1772078_001_A05,1772078_001_A07,1772078_001_A09,1772078_001_B03,1772078_001_B09,1772078_001_D05,1772078_001_D06,1772078_002_A04,1772078_002_A05,1772078_002_A06,1772078_002_A10,1772078_002_B02,1772078_002_B03,1772078_002_B05,1772078_002_C09,1772078_002_D08,1772078_002_D12,1772078_002_E03,1772078_002_E04,1772078_002_E05,1772078_002_E07,1772078_002_E12,1772078_002_F09,1772078_002_G02,1772078_002_G03,1772078_002_G07,1772078_002_G09,1772078_002_H03,1772096_160_A09,1772096_160_B04,1772096_160_B11,1772096_160_C04,1772096_160_D02,1772096_160_E01,1772096_160_E04,1772096_160_F08,1772096_160_G02,1772096_160_H07,1772096_095_A10,1772096_095_B01,1772096_095_C04,1772096_095_D07,1772096_095_D11,1772096_095_E01,1772096_095_E02,1772096_095_E06,1772096_095_H07,1772122_236_A03,1772122_236_A04,1772122_236_A06,1772122_236_A07,1772122_236_A08,1772122_236_A09,1772122_236_A10,1772122_236_A12,1772122_236_B03,1772122_236_B04,1772122_236_B05,1772122_236_B06,1772122_236_B07,1772122_236_B08,1772122_236_B09,1772122_236_B11,1772122_236_B12,1772122_236_C04,1772122_236_C05,1772122_236_C06,1772122_236_C09,1772122_236_C10,1772122_236_C11,1772122_236_C12,1772122_236_D02,1772122_236_D06,1772122_236_D07,1772122_236_D08,1772122_236_E02,1772122_236_E04,1772122_236_E05,1772122_236_E10,1772122_236_E11,1772122_236_F02,1772122_236_F04,1772122_236_F05,1772122_236_F06,1772122_236_F07,1772122_236_F10,1772122_236_G02,1772122_236_G03,1772122_236_G04,1772122_236_G06,1772122_236_G09,1772122_236_G11,1772122_236_G12,1772122_236_H04,1772122_236_H08,1772122_236_H11,1772122_236_H12,1772121_288_A01,1772121_288_A03,1772121_288_A05,1772121_288_A06,1772121_288_A07,1772121_288_A08,1772121_288_A10,1772121_288_A11,1772121_288_A12,1772121_288_B01,1772121_288_B02,1772121_288_B04,1772121_288_B07,1772121_288_B08,1772121_288_B09,1772121_288_B11,1772121_288_B12,1772121_288_C01,1772121_288_C02,1772121_288_C03,1772121_288_C07,1772121_288_C08,1772121_288_C09,1772121_288_C10,1772121_288_D01,1772121_288_D02,1772121_288_D04,1772121_288_D06,1772121_288_D07,1772121_288_D09,1772121_288_D10,1772121_288_D11,1772121_288_D12,1772121_288_E02,1772121_288_E06,1772121_288_E07,1772121_288_E09,1772121_288_E10,1772121_288_F01,1772121_288_F04,1772121_288_F07,1772121_288_G01,1772121_288_G05,1772121_288_G06,1772121_288_G12,1772121_288_H02,1772121_288_H03,1772121_288_H08,1772121_288_H11,1772121_291_A03,1772121_291_A04,1772121_291_A05,1772121_291_A07,1772121_291_A08,1772121_291_A09,1772121_291_A11,1772121_291_B02,1772121_291_B07,1772121_291_B09,1772121_291_B12,1772121_291_C01,1772121_291_C05,1772121_291_C07,1772121_291_C11,1772121_291_C12,1772121_291_D02,1772121_291_D03,1772121_291_D04,1772121_291_D05,1772121_291_D07,1772121_291_D10,1772121_291_D11,1772121_291_D12,1772121_291_E03,1772121_291_E04,1772121_291_E05,1772121_291_E06,1772121_291_E07,1772121_291_E08,1772121_291_E10,1772121_291_E12,1772121_291_F04,1772121_291_F06,1772121_291_F10,1772121_291_F11,1772121_291_F12,1772121_291_G02,1772121_291_G05,1772121_291_G06,1772121_291_G07,1772121_291_G09,1772121_291_G10,1772121_291_G11,1772121_291_G12,1772121_291_H01,1772121_291_H04,1772121_291_H05,1772121_291_H06,1772121_291_H11,1772121_293_A04,1772121_293_A05,1772121_293_A06,1772121_293_A07,1772121_293_A09,1772121_293_A11,1772121_293_A12,1772121_293_B01,1772121_293_B04,1772121_293_B07,1772121_293_B09,1772121_293_C01,1772121_293_C02,1772121_293_C07,1772121_293_C08,1772121_293_D01,1772121_293_D03,1772121_293_D04,1772121_293_D06,1772121_293_D07,1772121_293_D08,1772121_293_E07,1772121_293_E09,1772121_293_E11,1772121_293_F02,1772121_293_F03,1772121_293_G08,1772121_283_A01,1772121_283_A02,1772121_283_A03,1772121_283_A06,1772121_283_A08,1772121_283_A09,1772121_283_A10,1772121_283_B02,1772121_283_B06,1772121_283_B11,1772121_283_B12,1772121_283_C01,1772121_283_C03,1772121_283_C04,1772121_283_C07,1772121_283_C09,1772121_283_D01,1772121_283_D02,1772121_283_D05,1772121_283_D09,1772121_283_D11,1772121_283_D12,1772121_283_E01,1772121_283_E02,1772121_283_E05,1772121_283_E09,1772121_283_E10,1772121_283_E12,1772121_283_F02,1772121_283_F03,1772121_283_F05,1772121_283_F06,1772121_283_F07,1772121_283_F08,1772121_283_F09,1772121_283_F11,1772121_283_G02,1772121_283_G03,1772121_283_G04,1772121_283_G05,1772121_283_G06,1772121_283_G11,1772121_283_H02,1772121_283_H07,1772121_283_H10,1772121_283_H12,1772121_282_A01,1772121_282_A02,1772121_282_A03,1772121_282_A05,1772121_282_A07,1772121_282_A09,1772121_282_A11,1772121_282_B06,1772121_282_B07,1772121_282_B09,1772121_282_B11,1772121_282_C03,1772121_282_C04,1772121_282_C07,1772121_282_C10,1772121_282_C12,1772121_282_D04,1772121_282_D08,1772121_282_D11,1772121_282_E02,1772121_282_E04,1772121_282_E05,1772121_282_E07,1772121_282_E09,1772121_282_E11,1772121_282_F01,1772121_282_F02,1772121_282_F03,1772121_282_F08,1772121_282_F09,1772121_282_F12,1772121_282_G01,1772121_282_G03,1772121_282_G04,1772121_282_G06,1772121_282_G07,1772121_282_G08,1772121_282_G09,1772121_282_G11,1772121_282_H09,1772122_264_A01,1772122_264_A02,1772122_264_A03,1772122_264_A04,1772122_264_A07,1772122_264_A08,1772122_264_B01,1772122_264_B02,1772122_264_B04,1772122_264_B08,1772122_264_B09,1772122_264_C01,1772122_264_C02,1772122_264_C04,1772122_264_C06,1772122_264_C08,1772122_264_C09,1772122_264_C11,1772122_264_D01,1772122_264_D02,1772122_264_D04,1772122_264_D05,1772122_264_D09,1772122_264_E01,1772122_264_E03,1772122_264_E08,1772122_264_E10,1772122_264_F01,1772122_264_F05,1772122_264_F06,1772122_264_F07,1772122_264_F11,1772122_264_G02,1772122_264_G03,1772122_264_G04,1772122_264_G08,1772122_264_G09,1772122_264_H02,1772122_264_H07,1772122_264_H10,1772122_208_A01,1772122_208_A02,1772122_208_A03,1772122_208_A05,1772122_208_A06,1772122_208_A07,1772122_208_A09,1772122_208_A11,1772122_208_B04,1772122_208_B05,1772122_208_B08,1772122_208_B09,1772122_208_B12,1772122_208_C03,1772122_208_C04,1772122_208_C05,1772122_208_C06,1772122_208_C09,1772122_208_C11,1772122_208_C12,1772122_208_D03,1772122_208_D04,1772122_208_D05,1772122_208_D08,1772122_208_D12,1772122_208_E04,1772122_208_E09,1772122_208_F02,1772122_208_F04,1772122_208_F06,1772122_208_F07,1772122_208_F08,1772122_208_F10,1772122_208_G03,1772122_208_G04,1772122_208_G05,1772122_208_G09,1772122_208_G10,1772122_208_G11,1772122_208_H01,1772122_208_H02,1772122_208_H09,1772122_208_H10,1772122_208_H11,1772122_208_H12,1772122_201_A03,1772122_201_A05,1772122_201_A07,1772122_201_A09,1772122_201_A11,1772122_201_B03,1772122_201_B04,1772122_201_B06,1772122_201_B07,1772122_201_B10,1772122_201_B12,1772122_201_C01,1772122_201_C02,1772122_201_C03,1772122_201_C04,1772122_201_C05,1772122_201_C06,1772122_201_C08,1772122_201_C09,1772122_201_D04,1772122_201_D07,1772122_201_D09,1772122_201_E02,1772122_201_E04,1772122_201_E11,1772122_201_E12,1772122_201_F01,1772122_201_F05,1772122_201_F06,1772122_201_F07,1772122_201_F08,1772122_201_F09,1772122_201_F10,1772122_201_F11,1772122_201_F12,1772122_201_G06,1772122_201_G07,1772122_201_G09,1772122_201_G11,1772122_201_G12,1772122_201_H02,1772122_201_H04,1772122_201_H05,1772122_201_H06,1772122_201_H07,1772122_201_H10,1772122_201_H11,1772122_207_A01,1772122_207_A02,1772122_207_A05,1772122_207_A06,1772122_207_A09,1772122_207_A10,1772122_207_A12,1772122_207_B01,1772122_207_B03,1772122_207_B04,1772122_207_B07,1772122_207_B08,1772122_207_B10,1772122_207_B11,1772122_207_C03,1772122_207_C04,1772122_207_C05,1772122_207_C06,1772122_207_C09,1772122_207_C11,1772122_207_D01,1772122_207_D02,1772122_207_D06,1772122_207_D07,1772122_207_D09,1772122_207_E03,1772122_207_E04,1772122_207_E05,1772122_207_E09,1772122_207_E12,1772122_207_F02,1772122_207_F04,1772122_207_F07,1772122_207_F11,1772122_207_F12,1772122_207_G01,1772122_207_G03,1772122_207_G04,1772122_207_G05,1772122_207_G08,1772122_207_G09,1772122_207_G11,1772122_207_H07,1772122_207_H09,1772122_207_H11,1772122_199_A04,1772122_199_A08,1772122_199_A09,1772122_199_B03,1772122_199_B07,1772122_199_C03,1772122_199_C11,1772122_199_D01,1772122_199_D05,1772122_199_D10,1772122_199_E03,1772122_199_F01,1772122_199_F04,1772122_199_F06,1772122_199_G09,1772122_199_H03,1772122_199_H07,1772122_199_H08,1772122_203_A08,1772122_203_B03,1772122_203_B07,1772122_203_B09,1772122_203_C11,1772122_203_D01,1772122_203_D02,1772122_203_D03,1772122_203_D07,1772122_203_D09,1772122_203_E03,1772122_203_E04,1772122_203_E06,1772122_203_E07,1772122_203_E08,1772122_203_E09,1772122_203_F07,1772122_203_F09,1772122_203_G01,1772122_203_G06,1772122_203_G10,1772122_203_H03,1772122_203_H06,1772122_203_H08,1772122_200_B02,1772122_200_B03,1772122_200_B05,1772122_200_B07,1772122_200_C04,1772122_200_C05,1772122_200_C07,1772122_200_C11,1772122_200_D01,1772122_200_D06,1772122_200_D09,1772122_200_E03,1772122_200_E06,1772122_200_E07,1772122_200_E09,1772122_200_E12,1772122_200_F02,1772122_200_F03,1772122_200_F06,1772122_200_G09,1772122_200_H01,1772122_200_H02,1772122_200_H03,1772122_316_A01,1772122_316_A10,1772122_316_A12,1772122_316_B02,1772122_316_B04,1772122_316_B06,1772122_316_B10,1772122_316_B11,1772122_316_C01,1772122_316_C02,1772122_316_C04,1772122_316_C06,1772122_316_C08,1772122_316_C11,1772122_316_D04,1772122_316_D05,1772122_316_D06,1772122_316_D09,1772122_316_D11,1772122_316_E03,1772122_316_E06,1772122_316_E07,1772122_316_E10,1772122_316_E11,1772122_316_E12,1772122_316_F01,1772122_316_F02,1772122_316_F04,1772122_316_F07,1772122_316_F09,1772122_316_F10,1772122_316_F11,1772122_316_F12,1772122_316_G04,1772122_316_G06,1772122_316_G07,1772122_316_G08,1772122_316_G09,1772122_316_G10,1772122_316_G11,1772122_316_G12,1772122_316_H01,1772122_316_H04,1772122_316_H05,1772122_316_H06,1772122_316_H09,1772122_316_H10,1772122_316_H11,1772122_317_A02,1772122_317_A06,1772122_317_A11,1772122_317_A12,1772122_317_B01,1772122_317_B06,1772122_317_B07,1772122_317_B10,1772122_317_B12,1772122_317_C02,1772122_317_C04,1772122_317_C07,1772122_317_C08,1772122_317_C09,1772122_317_D01,1772122_317_D04,1772122_317_D11,1772122_317_D12,1772122_317_E01,1772122_317_E02,1772122_317_E04,1772122_317_E05,1772122_317_E11,1772122_317_F04,1772122_317_F06,1772122_317_F07,1772122_317_F09,1772122_317_G02,1772122_317_G04,1772122_317_G09,1772122_317_G12,1772122_317_H02,1772122_317_H03,1772122_317_H06,1772122_317_H07,1772122_317_H08,1772122_317_H09,1772122_317_H10,1772122_317_H11,1772122_317_H12,1772122_318_A05,1772122_318_A06,1772122_318_A07,1772122_318_A08,1772122_318_A11,1772122_318_B01,1772122_318_B03,1772122_318_B04,1772122_318_B07,1772122_318_B09,1772122_318_B11,1772122_318_C02,1772122_318_C04,1772122_318_D05,1772122_318_D09,1772122_318_D10,1772122_318_D11,1772122_318_D12,1772122_318_E08,1772122_318_E09,1772122_318_F03,1772122_318_F04,1772122_318_F06,1772122_318_F09,1772122_318_F11,1772122_318_G04,1772122_318_G07,1772122_318_G08,1772122_318_G10,1772122_318_G12,1772122_318_H02,1772122_318_H04,1772122_318_H09,1772122_318_H11,1772122_318_H12,1772122_319_A03,1772122_319_A05,1772122_319_A06,1772122_319_A07,1772122_319_A09,1772122_319_A10,1772122_319_A11,1772122_319_B02,1772122_319_B05,1772122_319_B06,1772122_319_B10,1772122_319_C01,1772122_319_C03,1772122_319_C04,1772122_319_C05,1772122_319_C06,1772122_319_C10,1772122_319_C11,1772122_319_C12,1772122_319_D01,1772122_319_D02,1772122_319_D04,1772122_319_D06,1772122_319_D09,1772122_319_D11,1772122_319_E01,1772122_319_E03,1772122_319_E04,1772122_319_E06,1772122_319_E08,1772122_319_E10,1772122_319_E11,1772122_319_E12,1772122_319_F02,1772122_319_F04,1772122_319_F08,1772122_319_F09,1772122_319_F11,1772122_319_F12,1772122_319_G01,1772122_319_G04,1772122_319_G05,1772122_319_G06,1772122_319_G10,1772122_319_G11,1772122_319_G12,1772122_319_H04,1772122_319_H05,1772122_319_H08,1772122_319_H09,1772122_319_H11,1772122_221_A11,1772122_221_B03,1772122_221_B04,1772122_221_B09,1772122_221_B10,1772122_221_C02,1772122_221_C05,1772122_221_C06,1772122_221_C09,1772122_221_C12,1772122_221_D02,1772122_221_D04,1772122_221_E05,1772122_221_E07,1772122_221_E11,1772122_221_F04,1772122_221_F09,1772122_221_F11,1772122_221_G05,1772122_221_G06,1772122_221_G08,1772122_221_H06,1772122_221_H08,1772122_221_H09,1772122_221_H11,1772122_220_A02,1772122_220_A05,1772122_220_A06,1772122_220_A07,1772122_220_A09,1772122_220_A10,1772122_220_A12,1772122_220_B03,1772122_220_B04,1772122_220_B06,1772122_220_B07,1772122_220_B11,1772122_220_B12,1772122_220_C04,1772122_220_C09,1772122_220_C10,1772122_220_D02,1772122_220_D04,1772122_220_D05,1772122_220_D10,1772122_220_D11,1772122_220_E01,1772122_220_E04,1772122_220_E11,1772122_220_E12,1772122_220_F03,1772122_220_F04,1772122_220_F05,1772122_220_F10,1772122_220_F11,1772122_220_G04,1772122_220_G05,1772122_220_G06,1772122_220_G09,1772122_220_G10,1772122_220_G11,1772122_220_G12,1772122_220_H03,1772122_220_H04,1772122_220_H06,1772122_220_H10,1772122_220_H11,1772122_220_H12,1772122_226_A02,1772122_226_A04,1772122_226_C04,1772122_226_D06,1772122_226_D09,1772122_226_E05,1772122_226_H04,1772122_223_A01,1772122_223_A02,1772122_223_A05,1772122_223_B03,1772122_223_B05,1772122_223_B06,1772122_223_B07,1772122_223_B08,1772122_223_B09,1772122_223_B10,1772122_223_B12,1772122_223_C04,1772122_223_C10,1772122_223_C11,1772122_223_D01,1772122_223_D02,1772122_223_D04,1772122_223_D05,1772122_223_D06,1772122_223_D09,1772122_223_E05,1772122_223_E06,1772122_223_F01,1772122_223_F03,1772122_223_F05,1772122_223_F06,1772122_223_F10,1772122_223_F11,1772122_223_G02,1772122_223_G07,1772122_223_G09,1772122_223_G11,1772122_223_H02,1772122_223_H03,1772122_223_H05,1772122_223_H08,1772122_223_H11,1772122_224_A03,1772122_224_A06,1772122_224_A09,1772122_224_A11,1772122_224_B07,1772122_224_C01,1772122_224_C06,1772122_224_C08,1772122_224_C11,1772122_224_D06,1772122_224_D07,1772122_224_D09,1772122_224_D10,1772122_224_E01,1772122_224_F05,1772122_224_F07,1772122_224_G07,1772122_224_H07,1772122_224_H09
AGRN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,4,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,0,0,1,0,0,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,1,0,2,0,0,1,1,0,6,0,0,0,1,0,0,1,1,0,1,1,1,1,1,3,0,1,1,0,3,2,1,0,0,0,2,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CCNL2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
